X,Y,fid,stop_name
685391.9535,7467152.9278,1,AquaRio
685872.3679,7466917.7622,2,Hospital dos Servidores
684040.2066,7466451.7826,3,Cordeiro da Graça
683732.9472,7466371.5744,4,Ponto Final: Rodoviária :: Linhas 112 e 133
683930.4764,7466406.1606,5,Ponto Final: Rodoviária :: Linha 104
683887.1436,7466386.6422,6,Ponto Final: Rodoviária :: Linhas 108 e 110
684897.7567,7467026.1932,7,Cidade do Samba
684195.2521,7466746.5989,8,Cordeiro da Graça
684189.2732,7466744.3461,9,Cordeiro da Graça
682586.0694,7467708.7527,10,Monsenhor Manuel Gomes
681659.6683,7468067.6807,11,Parque Alegria
681925.4755,7468155.2985,12,Péter Lund
683212.1569,7467076.8616,13,INTO
683639.0968,7465733.4517,14,Dinah de Queiroz (Executivos)
683760.3573,7466102.9976,15,Praia Formosa
685923.0865,7466703.3827,16,Sacadura Cabral
685884.6664,7466583.1339,17,Jardins Suspensos do Valongo
685098.3546,7466640.418,18,Livramento
684999.2337,7466925.1616,19,Mortona
685345.0546,7466341.6795,20,Ladeira do Faria
684392.5426,7466685.4919,21,Equador
684241.1543,7466690.6624,22,Ernesto Nazareth
684030.8514,7466694.4454,23,Cordeiro da Graça
684342.9634,7466583.0969,24,Mendonça
683658.0312,7465653.7008,25,Geógrafo Milton Santos
683627.8685,7466294.883,26,Comandante Garcia Pires
684829.2208,7467026.9214,27,Cidade do Samba
684187.6183,7466760.0932,28,Parada Cordeiro da Graça
683947.8637,7466292.0948,29,Santo Cristo
682032.2105,7468241.5066,30,Brasil
681983.5209,7468288.6087,31,Brasil
682127.1906,7468723.1278,32,Creche Municipal Ladeira dos Funcionários
682735.4538,7469013.5967,33,CIEP Henfil
684543.9808,7466348.6134,34,CMS José Messias do Carmos
683011.1517,7468907.4832,35,Carlos Seidl
685611.64,7467018.654,36,Moinho Fluminense
682997.8071,7468941.0919,37,Ponto Final: Caju :: General Sampaio
683754.0145,7466247.8287,38,"Ponto Final: Rodoviária :: Linhas 012, 301, 302, 353, 606 e SV606"
684298.6799,7466872.4813,39,Professor Pereira Reis
683596.2122,7469237.1852,40,Estaleiro Inhaúma
686503.3364,7466129.1645,41,Ponto Final: Candelária :: Linhas 324 e 329
686131.6258,7466223.4632,42,Leandro Martins
687185.5339,7465406.3519,43,Ponto Regulador: Castelo :: Linha 014
686460.9881,7466114.8466,44,Ponto Final: Candelária :: Linhas 322 e 326
687133.0087,7465390.3901,45,Museu Nacional de Belas Artes
686796.79,7465084.4425,46,Marrecas
686968.7024,7465296.07,47,Treze de Maio
686482.5583,7466141.6042,48,Ponto Final: Candelária :: Linha 343
685560.2684,7466069.904,49,Ponto Regulador: Central do Brasil
687553.2433,7465190.2441,50,"BRS 1,2,3: Beira Mar"
685532.6678,7465327.0848,51,"BRS 1,2,4: General Caldwell"
685696.3115,7465034.8964,52,"BRS 1,2,3,4,5,I: Cruz Vermelha"
686386.5895,7465598.9855,53,"BRS 1,4,5,I: Praça Tiradentes"
686936.9616,7465467.0256,54,"BRS 1,2: Treze de Maio"
682668.1628,7467751.2857,55,Brasil
685426.1256,7465173.3389,56,"BRS 2,3,4,I: Senado"
687458.8961,7465441.7229,57,"BRS 1,2,3,4,I: Santa Luzia"
687317.813,7465813.3963,58,"BRS 1,2,3,4,5,I: Erasmo Braga"
682318.0115,7469135.3699,59,Hospital Estadual Anchieta
682354.8337,7469133.7075,60,Hospital Estadual Anchieta
685790.9294,7464803.363,61,Riachuelo
682113.4227,7468730.271,62,Creche Municipal Ladeira dos Funcionários
682677.8656,7469029.2444,63,CIEP Henfil
683007.3976,7468868.6548,64,General Gurjão
683238.5735,7469052.028,65,Parque de Material de Eletrônica da Aeronáutica
685102.6708,7465653.551,66,"BRS 1,3: Rua de Santana"
685401.0239,7465869.4028,67,Terminal Procópio Ferreira :: Plat. Central
685892.5476,7466464.8624,68,Praça dos Estivadores
687285.1351,7465577.8938,69,Debret
686664.3378,7466237.929,70,BRS 5: Rio Branco
686563.3596,7466203.7358,71,BRS 4: Rio Branco
686450.6455,7466166.3643,72,"BRS 1,3: Uruguaiana"
686354.3958,7466132.776,73,BRS 2: Uruguaiana
686072.9209,7466039.2275,74,BRS 2: Passos
685897.767,7465980.4708,75,BRS 5: Tomé de Sousa
685698.9237,7465914.2509,76,"BRS 2,3: Praça da República"
685396.0051,7465811.651,77,BRS 4: Central
685296.0728,7465778.5445,78,BRS 5: Central
685236.3269,7465759.3422,79,"BRS 1,2,3: Central"
685941.0322,7465994.336,80,BRS 4: Tomé de Sousa
685390.1496,7465827.7822,81,"BRS 2,4: Central"
685279.1693,7465738.8807,82,"BRS 5,I: Central"
